date,meeting,motion_number,measure_type,measure_number,short_title,movant,motion_description,required_threshold,description,discussion,friendly,roll_call,Yvette Alexander,Marion Barry,Anita Bonds,Muriel Bowser,David Catania,Mary Cheh,Jack Evans,Jim Graham,David Grosso,Kenyan McDuffie,Phil Mendelson,Vincent Orange,Tommy Wells,passed
2013-07-10,Legislative Meeting,1,Bill,20-62,Large Retailer Accountability Act of 2013,Vincent Orange,Main,7,Main Motion on Large Retailer Accountability Act of 2013,"["Vincent Orange";"Tommy Wells";"Jim Graham"; "Yvette Alexander";"David Catania"; "Marion Barry"; "Mary Cheh"; "Jim Graham"; "Muriel Bowser"; "Jack Evans"; "Vincent Orange"; "Phil Mendelson"]",FALSE,TRUE,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,TRUE
2013-07-10,Legislative Meeting,2,Bill,20-62,Large Retailer Accountability Act of 2013,Jim Graham,Amend,7,"Amendment re Hiring Tracking with Graham oral 2nd degree amendment (such as DHS, DYRS, CFSA, and DOES)", "["Jim Graham"; "Phil Mendelson"; "Marion Barry"; "David Catania"; "Jim Graham"; "Anita Bonds"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,3,Bill,20-62,Large Retailer Accountability Act of 2013,Yvette Alexander,Table,7,Table B20-62,"["Yvette Alexander"]",FALSE,TRUE,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,FALSE
2013-07-10,Legislative Meeting,4,Bill,20-62,Large Retailer Accountability Act of 2013,David Catania,Amend,7,Amendment to change applicability to businesses without C&Os,"["David Catania"; "Phil Mendelson"; "Vincent Orange"; "Marion Barry"]",FALSE,TRUE,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,FALSE
2013-07-10,Legislative Meeting,5,Bill,20-62,Large Retailer Accountability Act of 2013,Jim Graham,Close Debate,9,Close Debate on B20-62,"["Jim Graham"]",FALSE,FALSE,,,,,,,,,,,,,,TRUE
2013-07-10,Legislative Meeting,6,Bill,20-95,Smoking Restriction Amendment Act of 2013,Mary Cheh,Main,7,Main Motion on Smoking Restriction Amendment Act of 2013,"["Mary Cheh"; "Phil Mendelson"; "Marion Barry"; "Mary Cheh"]",FALSE,FALSE,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,TRUE
2013-07-10,Legislative Meeting,7,Resolution,20-148,Children and Youth Investment Trust Corporation Board of Directors William Whitehead Treanor Appointment Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Children and Youth Investment Trust Corporation Board of Directors William Whitehead Treanor Appointment Resolution of 2013,"["Phil Mendelson"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,8,Resolution,20-149,Children and Youth Investment Trust Corporation Board of Directors Jessica A. Sandoval Appointment Resolution of 2013,Phil Mendelson,Main,7,Main Motion on Children and Youth Investment Trust Corporation Board of Directors Jessica A. Sandoval Appointment Resolution of 2013,"["Phil Mendelson"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,9,Resolution,20-193,Public Charter School Board Herbert R. Tillery Confirmation Resolution of 2013,David Catania,Main,7,Main Motion on Public Charter School Board Herbert R. Tillery Confirmation Resolution of 2013,"["David Catania"; "Marion Barry"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,10,Resolution,20-293,District of Columbia Board of Library Trustees Neil Albert Confirmation Resolution of 2013,David Catania,Main,7,Main Motion on District of Columbia Board of Library Trustees Neil Albert Confirmation Resolution of 2013,"["David Catania"; "Marion Barry"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,11,Bill,20-156,"Closing of a Public Alley in Square 77, S.O. 12-6036, Act of 2013",Phil Mendelson,Main,7,"Main Motion on Closing of a Public Alley in Square 77, S.O. 12-6036, Act of 2013","["Phil Mendelson"; "Jack Evans"; "Muriel Bowser"; "Phil Mendelson"]",FALSE,FALSE,Y,Y,Y,Y,Y,R,Y,Y,Y,Y,Y,Y,Y,TRUE
2013-07-10,Legislative Meeting,12,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Main,7,Main Motion on Elected Attorney General Implementation and Legal Services Amendment Act of 2013,"["Tommy Wells"; "Jack Evans"; "David Grosso";"Mary Cheh"]",FALSE,,,,,,,,,,,,,,,TABLED
2013-07-10,Legislative Meeting,13,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Jack Evans,Amend,7,Amendment to postpone election of AG,"["Jack Evans"; "Tommy Wells"; "David Grosso"; "Jack Evans"; "Tommy Wells"; "Muriel Bowser"; "Anita Bonds"; "David Catania"; "Phil Mendelson"; "Vincent Orange"]",FALSE,TRUE,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,TRUE
2013-07-10,Legislative Meeting,14,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Mary Cheh,Amend,7,Amendment,"["Mary Cheh"; "Marion Barry"; "Jim Graham"; "Phil Mendelson"; "Tommy Wells"]",FALSE,,,,,,,,,,,,,,,TABLED
2013-07-10,Legislative Meeting,15,Bill,20-134,Elected Attorney General Implementation and Legal Services Amendment Act of 2013,Tommy Wells,Table,7,Table B20-134,"["Tommy Wells"]",FALSE,TRUE,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,Y,TRUE
2013-07-10,Legislative Meeting,16,Bill,20-275,Drivers Safety Amendment Act of 2013,Mary Cheh,Main,7,Main Motion on Drivers Safety Amendment Act of 2013,"["Mary Cheh"; "Vincent Orange"; "David Grosso"; "Marion Barry"; "Jim Graham"; "Jack Evans"]",FALSE,FALSE,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,TRUE
